"Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Do.Not.Call","Converted","TotalVisits","Time.on.Web","Page.Views.Per.Visit","Last.Activity","Country","Specialization","Hear.About","Occupation","Tags","Lead.Quality","Lead.Profile","City","Asymmetrique.Activity.Index","Asymmetrique.Profile.Index","Asymmetrique.Activity.Score","Asymmetrique.Profile.Score","Last.Notable.Activity","Lead.Score","Lead.Type"
615080,"Landing Page Submission","Direct Traffic","No","No",1,7,1143,3.5,"Email Opened","India","Business Administration","Student of SomeSchool","Unemployed","switched off","Might be","Select","Thane & Outskirts","01.High","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",9,0
615064,"API","Organic Search","Yes","No",1,2,342,2,"SMS Sent","India","Banking, Investment And Insurance","Select","Unemployed","Not doing further education","Not Sure","Select","Other Cities","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
615063,"Landing Page Submission","Direct Traffic","No","No",0,8,598,4,"Converted to Lead","India","Finance Management","Select","Student","Will revert after reading the email","Not Sure","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",39,0
615032,"Landing Page Submission","Direct Traffic","No","No",0,2,1517,2,"SMS Sent","India","Human Resource Management","Select","Unemployed","Want to take admission but has financial problems","Might be","Select","Other Cities","02.Medium","02.Medium",13,16,"Modified",32,0
615031,"Landing Page Submission","Direct Traffic","No","No",0,12,494,3,"Email Opened","India","Finance Management","Select","Unemployed","Ringing","Might be","Select","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",8,0
614996,"API","Google","No","No",1,3,1199,1,"SMS Sent","India","Select","Select","Unemployed","Ringing","Worst","Select","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",24,0
614974,"Landing Page Submission","Direct Traffic","No","No",1,3,206,3,"SMS Sent","India","Marketing Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Other Cities of Maharashtra","03.Low","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",86,1
614973,"API","Google","No","No",0,3,204,1.5,"Converted to Lead","India","Rural and Agribusiness","Online Search","Unemployed","Will revert after reading the email","Worst","Select","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"Modified",42,0
614961,"API","Organic Search","No","No",0,3,427,3,"Email Opened","India","Finance Management","Word Of Mouth","Unemployed","Interested in other courses","Not Sure","Select","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"Modified",0,0
614938,"API","Google","No","No",0,2,238,1,"Email Opened","India","Finance Management","Select","Unemployed","Interested in other courses","Might be","Select","Mumbai","01.High","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",15,0
614930,"API","Google","No","No",0,2,1237,1,"Email Opened","India","Human Resource Management","Select","Unemployed","Interested in other courses","Worst","Other Leads","Select","01.High","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",11,0
614924,"Landing Page Submission","Google","No","No",1,3,170,3,"SMS Sent","India","Supply Chain Management","Social Media","Working Professional","Will revert after reading the email","Might be","Potential Lead","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",100,1
614911,"Landing Page Submission","Google","No","No",1,7,894,3.5,"SMS Sent","India","International Business","Select","Unemployed","Ringing","Low in Relevance","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",41,0
614902,"Lead Add Form","Reference","No","No",1,0,0,0,"Form Submitted on Website","India","Human Resource Management","Select","Unemployed","Closed by Horizzon","High in Relevance","Select","Mumbai","02.Medium","01.High",14,19,"Modified",68,1
614900,"Landing Page Submission","Direct Traffic","No","No",1,2,1585,2,"SMS Sent","India","Operations Management","Select","Working Professional","Will revert after reading the email","Might be","Select","Other Cities of Maharashtra","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",96,1
614878,"Landing Page Submission","Direct Traffic","No","No",0,3,127,3,"Email Opened","India","Human Resource Management","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Mumbai","01.High","01.High",14.0347631062518,16.5576114381833,"Email Opened",67,1
614865,"API","Google","No","No",1,2,252,2,"Email Opened","India","Select","Select","Unemployed","Lost to EINS","Low in Relevance","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",84,1
614846,"Landing Page Submission","Google","No","No",1,4,905,4,"SMS Sent","India","IT Projects Management","Select","Unemployed","Busy","Not Sure","Potential Lead","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",70,1
614845,"API","Google","No","No",1,8,88,8,"SMS Sent","India","Select","Select","Unemployed","Ringing","Might be","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",34,0
614840,"Landing Page Submission","Direct Traffic","No","No",1,3,112,3,"SMS Sent","India","Finance Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",86,1
614828,"Landing Page Submission","Google","No","No",0,5,220,5,"Email Opened","India","Finance Management","Online Search","Unemployed","wrong number given","Low in Relevance","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",15,0
614821,"API","Google","No","No",0,6,310,3,"Email Opened","India","Healthcare Management","Select","Working Professional","Will revert after reading the email","Low in Relevance","Select","Other Cities of Maharashtra","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",77,1
614819,"Landing Page Submission","Direct Traffic","No","No",1,19,312,2.38,"SMS Sent","India","Finance Management","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Mumbai","03.Low","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",94,1
614817,"Landing Page Submission","Organic Search","No","No",0,5,1035,2.5,"Email Opened","India","Supply Chain Management","Select","Unemployed","Ringing","Not Sure","Select","Other Cities","03.Low","01.High",14.0347631062518,16.5576114381833,"Email Opened",0,0
614804,"Landing Page Submission","Organic Search","No","No",1,8,914,2.67,"Email Opened","India","Travel and Tourism","Select","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Other Cities","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",74,1
614799,"Landing Page Submission","Google","No","No",0,9,278,9,"Email Opened","India","Marketing Management","Online Search","Unemployed","Graduation in progress","Not Sure","Potential Lead","Other Cities of Maharashtra","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",9,0
614794,"API","Organic Search","No","No",0,3,399,3,"SMS Sent","India","Select","Select","Unemployed","Ringing","Might be","Select","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",34,0
614745,"Landing Page Submission","Google","No","No",0,8,159,2.67,"Page Visited on Website","India","Media and Advertising","Multiple Sources","Unemployed","Will revert after reading the email","Not Sure","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Page Visited on Website",49,0
614744,"Landing Page Submission","Direct Traffic","No","No",0,3,457,3,"SMS Sent","India","Media and Advertising","Select","Unemployed","Ringing","Not Sure","Select","Mumbai","03.Low","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",26,0
614723,"Landing Page Submission","Google","No","No",0,12,48,3,"Page Visited on Website","India","Business Administration","Select","Unemployed","Interested  in full time MBA","Might be","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Page Visited on Website",13,0
614695,"Landing Page Submission","Google","No","No",0,3,990,3,"Email Opened","India","Healthcare Management","Word Of Mouth","Unemployed","Interested in other courses","Not Sure","Select","Mumbai","01.High","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
614694,"Landing Page Submission","Google","No","No",1,9,87,4.5,"SMS Sent","India","Finance Management","Online Search","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",86,1
614668,"Landing Page Submission","Direct Traffic","No","No",0,7,1402,7,"SMS Sent","India","Retail Management","Select","Unemployed","Ringing","Might be","Select","Other Cities","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",34,0
614665,"Landing Page Submission","Google","No","No",0,3,165,3,"Email Opened","India","Finance Management","Online Search","Unemployed","Interested in other courses","Worst","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",11,0
614635,"Landing Page Submission","Direct Traffic","No","No",1,4,1237,2,"SMS Sent","India","Operations Management","Select","Working Professional","Will revert after reading the email","Might be","Select","Other Cities of Maharashtra","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",96,1
614630,"Landing Page Submission","Direct Traffic","No","No",0,1,45,1,"Converted to Lead","India","Human Resource Management","Select","Unemployed","switched off","Worst","Select","Other Metro Cities","01.High","01.High",14.0347631062518,16.5576114381833,"Modified",0,0
614623,"Landing Page Submission","Organic Search","No","No",0,5,345,2.5,"Email Opened","India","Marketing Management","Select","Unemployed","Interested in other courses","Might be","Select","Other Cities of Maharashtra","03.Low","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",15,0
614615,"API","Organic Search","No","No",0,4,16,4,"Email Link Clicked","India","Select","Select","Unemployed","Ringing","High in Relevance","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Link Clicked",9,0
614607,"Landing Page Submission","Google","No","No",0,6,246,3,"Page Visited on Website","India","Human Resource Management","Online Search","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Page Visited on Website",5,0
614586,"Landing Page Submission","Organic Search","Yes","No",0,3,225,3,"SMS Sent","India","Finance Management","Advertisements","Unemployed","Lost to EINS","Not Sure","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",47,0
614573,"Landing Page Submission","Google","No","No",1,3,1590,3,"SMS Sent","India","IT Projects Management","Online Search","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Other Cities of Maharashtra","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",100,1
614570,"Landing Page Submission","Direct Traffic","No","No",0,4,154,4,"Page Visited on Website","India","Finance Management","Select","Unemployed","switched off","Not Sure","Other Leads","Thane & Outskirts","02.Medium","01.High",14.0347631062518,16.5576114381833,"Page Visited on Website",3,0
614568,"Landing Page Submission","Google","No","No",1,5,1436,2.5,"Email Opened","India","Human Resource Management","Student of SomeSchool","Unemployed","switched off","High in Relevance","Select","Other Metro Cities","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",15,0
614566,"Landing Page Submission","Google","No","No",0,2,312,2,"Email Opened","India","Marketing Management","Online Search","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",8,0
614565,"Landing Page Submission","Direct Traffic","No","No",0,5,106,5,"Email Opened","India","Business Administration","Select","Unemployed","Interested in other courses","Not Sure","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",7,0
614563,"Landing Page Submission","Direct Traffic","Yes","No",0,8,170,4,"Email Bounced","India","Human Resource Management","Select","Unemployed","Already a student","Worst","Student of SomeSchool","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Bounced",0,0
614554,"Landing Page Submission","Google","No","No",1,4,709,4,"Page Visited on Website","India","Hospitality Management","Social Media","Unemployed","Will revert after reading the email","Might be","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Modified",56,1
614541,"API","Google","No","No",0,3,260,1.5,"Olark Chat Conversation","India","Marketing Management","Select","Unemployed","Interested in other courses","Worst","Other Leads","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",2,0
614535,"Landing Page Submission","Google","No","No",0,4,1708,4,"Email Opened","India","Business Administration","Multiple Sources","Unemployed","Ringing","Not Sure","Other Leads","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",4,0
614529,"Landing Page Submission","Direct Traffic","No","No",0,3,12,3,"Email Link Clicked","India","Finance Management","Word Of Mouth","Working Professional","Interested in other courses","Might be","Potential Lead","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Link Clicked",29,0
614523,"API","Google","No","No",0,4,609,2,"Page Visited on Website","India","Select","Select","Unemployed","Ringing","Worst","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Page Visited on Website",0,0
614511,"Landing Page Submission","Direct Traffic","No","No",0,4,148,4,"Email Opened","India","Marketing Management","Select","Unemployed","Already a student","Not Sure","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",13,0
614508,"Landing Page Submission","Direct Traffic","Yes","No",0,2,271,2,"Email Bounced","India","Operations Management","Other","Unemployed","Ringing","Not Sure","Select","Other Cities","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
614506,"Landing Page Submission","Direct Traffic","No","No",1,3,89,3,"Email Opened","India","Operations Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Other Metro Cities","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",74,1
614480,"Landing Page Submission","Direct Traffic","No","No",1,2,1680,2,"SMS Sent","India","Human Resource Management","Online Search","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","03.Low","01.High",14.0347631062518,16.5576114381833,"SMS Sent",86,1
614470,"Landing Page Submission","Google","Yes","No",0,6,347,6,"SMS Sent","India","Human Resource Management","Other","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",20,0
614463,"Landing Page Submission","Google","No","No",1,8,1620,4,"Email Opened","India","Banking, Investment And Insurance","Multiple Sources","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",73,1
614458,"Landing Page Submission","Organic Search","No","No",1,7,845,7,"Email Link Clicked","India","Marketing Management","Online Search","Unemployed","Closed by Horizzon","High in Relevance","Potential Lead","Thane & Outskirts","02.Medium","01.High",15,19,"Email Link Clicked",80,1
614441,"Landing Page Submission","Direct Traffic","No","No",1,2,267,2,"SMS Sent","India","E-COMMERCE","Online Search","Unemployed","Lost to EINS","High in Relevance","Select","Mumbai","03.Low","02.Medium",14.0347631062518,16.5576114381833,"Modified",75,1
614434,"API","Direct Traffic","No","No",1,4,1054,1.33,"Email Opened","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",0,0
614387,"Landing Page Submission","Direct Traffic","No","No",0,1,206,1,"Converted to Lead","India","Finance Management","Word Of Mouth","Other","Will revert after reading the email","Not Sure","Select","Mumbai","01.High","01.High",14.0347631062518,16.5576114381833,"Modified",52,1
614343,"Landing Page Submission","Direct Traffic","No","No",1,3,1101,3,"SMS Sent","India","Business Administration","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",100,1
614324,"Landing Page Submission","Google","No","No",1,2,1507,2,"SMS Sent","India","Supply Chain Management","Student of SomeSchool","Unemployed","Busy","Not Sure","Other Leads","Thane & Outskirts","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",68,1
614287,"Landing Page Submission","Direct Traffic","No","No",0,4,84,4,"SMS Sent","India","International Business","Select","Unemployed","Ringing","Might be","Potential Lead","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Modified",7,0
614282,"Landing Page Submission","Direct Traffic","No","No",0,4,21,4,"SMS Sent","India","E-COMMERCE","Student of SomeSchool","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",34,0
614268,"Landing Page Submission","Direct Traffic","Yes","No",0,3,154,3,"Page Visited on Website","India","Travel and Tourism","Multiple Sources","Unemployed","Will revert after reading the email","Low in Relevance","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Modified",44,0
614259,"Landing Page Submission","Organic Search","No","No",1,8,387,8,"SMS Sent","India","Business Administration","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",100,1
614238,"Landing Page Submission","Direct Traffic","No","No",1,2,1380,2,"SMS Sent","India","Marketing Management","Multiple Sources","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Cities","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",100,1
614229,"Landing Page Submission","Direct Traffic","No","No",0,8,96,8,"SMS Sent","India","Banking, Investment And Insurance","Select","Unemployed","Busy","Might be","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",71,1
614226,"Landing Page Submission","Google","No","No",0,5,286,5,"SMS Sent","India","Human Resource Management","Word Of Mouth","Unemployed","Ringing","Might be","Select","Thane & Outskirts","01.High","01.High",14.0347631062518,16.5576114381833,"SMS Sent",34,0
614222,"Landing Page Submission","Direct Traffic","No","No",1,5,1880,5,"Email Opened","India","Business Administration","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","03.Low","01.High",14.0347631062518,16.5576114381833,"Email Opened",73,1
614218,"Landing Page Submission","Direct Traffic","Yes","No",0,8,77,8,"SMS Sent","India","E-COMMERCE","Select","Unemployed","Ringing","Not Sure","Other Leads","Mumbai","03.Low","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",17,0
614213,"Landing Page Submission","Google","No","No",0,2,416,2,"Email Opened","India","Human Resource Management","Other","Unemployed","Will revert after reading the email","Not Sure","Select","Other Metro Cities","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",52,1
614206,"Landing Page Submission","Direct Traffic","No","No",1,10,568,5,"SMS Sent","India","Marketing Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",86,1
614205,"API","Organic Search","No","No",1,4,1082,4,"Page Visited on Website","India","Select","Select","Unemployed","Will revert after reading the email","Not Sure","Other Leads","Other Cities","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",48,0
614202,"Landing Page Submission","Direct Traffic","Yes","No",0,4,426,4,"Page Visited on Website","India","Finance Management","Select","Unemployed","Ringing","Low in Relevance","Select","Mumbai","01.High","01.High",14.0347631062518,16.5576114381833,"Modified",0,0
614200,"Landing Page Submission","Direct Traffic","No","No",1,4,30,2,"Email Opened","India","Banking, Investment And Insurance","Online Search","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Thane & Outskirts","01.High","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",73,1
614189,"Landing Page Submission","Direct Traffic","No","No",0,7,32,7,"Email Opened","India","Hospitality Management","Select","Student","Already a student","Worst","Student of SomeSchool","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",1,0
614186,"Landing Page Submission","Direct Traffic","Yes","No",0,1,431,1,"Email Bounced","India","Finance Management","Select","Unemployed","invalid number","High in Relevance","Potential Lead","Mumbai","03.Low","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
614179,"Landing Page Submission","Google","No","No",0,4,1276,4,"SMS Sent","India","Hospitality Management","Online Search","Unemployed","Ringing","Might be","Select","Mumbai","01.High","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",34,0
614151,"Landing Page Submission","Direct Traffic","No","No",1,4,980,2,"Page Visited on Website","India","Marketing Management","Select","Unemployed","Busy","Not Sure","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Page Visited on Website",38,0
614146,"Landing Page Submission","Direct Traffic","No","No",1,4,1886,2,"Email Opened","India","Operations Management","Select","Unemployed","Not doing further education","Not Sure","Select","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",10,0
614132,"Landing Page Submission","Google","No","No",1,9,185,3,"Email Opened","India","Operations Management","Online Search","Unemployed","Closed by Horizzon","Might be","Other Leads","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",75,1
614115,"API","Google","No","No",0,2,1220,2,"Email Opened","India","Human Resource Management","Multiple Sources","Unemployed","switched off","Might be","Potential Lead","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",17,0
614066,"API","Google","No","No",0,2,1217,1,"Olark Chat Conversation","India","Select","Select","Unemployed","Ringing","Might be","Select","Select","03.Low","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
614056,"Landing Page Submission","Google","No","No",0,5,236,2.5,"SMS Sent","India","Finance Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",93,1
614038,"Landing Page Submission","Direct Traffic","No","No",1,2,1486,2,"SMS Sent","India","IT Projects Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Other Cities of Maharashtra","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",86,1
614037,"Landing Page Submission","Direct Traffic","No","No",0,4,12,2,"Email Opened","India","Services Excellence","Select","Unemployed","Already a student","Not Sure","Select","Other Metro Cities","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",13,0
614018,"Landing Page Submission","Organic Search","No","No",1,4,1189,4,"SMS Sent","India","Business Administration","Select","Working Professional","Will revert after reading the email","Might be","Potential Lead","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",100,1
614007,"API","Google","No","No",1,2,1177,1,"SMS Sent","India","Select","Select","Unemployed","Will revert after reading the email","Not Sure","Select","Select","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",78,1
613979,"API","Organic Search","No","No",1,4,918,2,"Page Visited on Website","India","Rural and Agribusiness","Select","Working Professional","Will revert after reading the email","Might be","Dual Specialization Student","Select","02.Medium","03.Low",15,12,"Page Visited on Website",86,1
613976,"API","Google","No","No",0,3,18,1.5,"Email Opened","India","Finance Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Thane & Outskirts","02.Medium","02.Medium",13,15,"Email Opened",60,1
613975,"Landing Page Submission","Direct Traffic","No","No",1,3,1105,3,"SMS Sent","India","Healthcare Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Select","Thane & Outskirts","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",93,1
613966,"Landing Page Submission","Direct Traffic","No","No",0,1,260,1,"Converted to Lead","India","Marketing Management","Select","Unemployed","invalid number","Low in Relevance","Select","Mumbai","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Modified",6,0
613965,"API","Organic Search","No","No",1,8,1651,8,"SMS Sent","India","Select","Select","Unemployed","Will revert after reading the email","Might be","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",86,1
613947,"Landing Page Submission","Direct Traffic","No","No",1,4,773,4,"Email Opened","India","Finance Management","Select","Unemployed","Will revert after reading the email","Might be","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",65,1
613938,"API","Organic Search","No","No",1,2,1198,1,"SMS Sent","India","Select","Select","Unemployed","Interested  in full time MBA","Might be","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",42,0
613918,"Landing Page Submission","Direct Traffic","No","No",1,2,1598,2,"SMS Sent","India","Finance Management","Select","Working Professional","Will revert after reading the email","Might be","Potential Lead","Thane & Outskirts","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",100,1
613879,"Landing Page Submission","Direct Traffic","No","No",0,2,177,2,"SMS Sent","India","Business Administration","Select","Unemployed","Interested in other courses","Worst","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Modified",0,0
613861,"Landing Page Submission","Google","No","No",0,5,212,5,"Email Opened","India","Operations Management","Other","Unemployed","Ringing","Low in Relevance","Select","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",14,0
613858,"API","Google","No","No",1,2,1378,2,"SMS Sent","India","Marketing Management","Online Search","Unemployed","wrong number given","Not Sure","Select","Thane & Outskirts","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",27,0
613854,"Landing Page Submission","Google","No","No",0,6,425,6,"Email Opened","India","Healthcare Management","Multiple Sources","Unemployed","Ringing","High in Relevance","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",13,0
613852,"API","Organic Search","No","No",1,4,976,4,"SMS Sent","India","Select","Select","Unemployed","Will revert after reading the email","Not Sure","Select","Select","01.High","02.Medium",14.0347631062518,16.5576114381833,"SMS Sent",78,1
613825,"API","Google","No","No",0,2,746,2,"Email Opened","India","Select","Select","Unemployed","Interested in other courses","Not Sure","Select","Select","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",7,0
613814,"API","Google","No","No",0,3,1114,3,"Email Opened","India","Human Resource Management","Select","Working Professional","Ringing","Worst","Select","Select","03.Low","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
613809,"Landing Page Submission","Google","No","No",0,6,324,3,"Email Opened","India","Banking, Investment And Insurance","Other","Unemployed","Will revert after reading the email","Not Sure","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",57,1
613797,"Landing Page Submission","Organic Search","No","No",1,5,519,5,"SMS Sent","India","IT Projects Management","Online Search","Unemployed","Will revert after reading the email","High in Relevance","Select","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"SMS Sent",92,1
613774,"API","Google","No","No",1,3,1341,3,"SMS Sent","India","Human Resource Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Cities","03.Low","01.High",14.0347631062518,16.5576114381833,"SMS Sent",100,1
613769,"Landing Page Submission","Google","No","No",0,5,1136,2.5,"Page Visited on Website","India","Business Administration","Student of SomeSchool","Unemployed","Interested in other courses","Not Sure","Select","Mumbai","03.Low","02.Medium",14.0347631062518,16.5576114381833,"Modified",0,0
613750,"Landing Page Submission","Direct Traffic","No","No",0,3,5,3,"Email Opened","India","Banking, Investment And Insurance","Select","Unemployed","switched off","Might be","Select","Other Cities","01.High","01.High",14.0347631062518,16.5576114381833,"Email Opened",9,0
613738,"Landing Page Submission","Google","No","No",1,7,242,3.5,"Page Visited on Website","India","Marketing Management","Online Search","Unemployed","Busy","Not Sure","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Page Visited on Website",38,0
613732,"Landing Page Submission","Direct Traffic","No","No",0,3,1353,3,"Email Opened","India","Supply Chain Management","Select","Unemployed","Lost to EINS","Low in Relevance","Select","Other Metro Cities","03.Low","02.Medium",10,16,"Email Opened",84,1
613711,"Landing Page Submission","Direct Traffic","No","No",0,2,682,2,"Email Opened","India","Finance Management","Select","Unemployed","switched off","Not Sure","Select","Other Metro Cities","02.Medium","02.Medium",14.0347631062518,16.5576114381833,"Email Opened",1,0
613707,"Landing Page Submission","Google","No","No",1,5,1826,2.5,"Email Opened","India","Marketing Management","Student of SomeSchool","Unemployed","Will revert after reading the email","Might be","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Email Opened",65,1
613698,"Landing Page Submission","Direct Traffic","Yes","No",0,2,125,2,"Unsubscribed","India","Human Resource Management","Word Of Mouth","Unemployed","Ringing","Not Sure","Other Leads","Mumbai","02.Medium","01.High",14.0347631062518,16.5576114381833,"Unsubscribed",1,0
613697,"API","Organic Search","No","No",0,4,956,1.33,"SMS Sent","India","IT Projects Management","Select","Unemployed","invalid number","Might be","Select","Other Cities","03.Low","03.Low",14.0347631062518,16.5576114381833,"SMS Sent",34,0
